Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_ema_fast,Exit_ema_fast,Entry_ema_slow,Exit_ema_slow,Entry_rsi,Exit_rsi,Entry_atr,Exit_atr,Entry_breakout_high,Exit_breakout_high,Entry_breakout_low,Exit_breakout_low,Entry_avg_volume,Exit_avg_volume,Entry_rsi_rank,Exit_rsi_rank,Entry_tactical_support,Exit_tactical_support,Entry_tactical_resistance,Exit_tactical_resistance,Entry_macro_support,Exit_macro_support,Entry_macro_resistance,Exit_macro_resistance
0.13713439,1358,1398,69205.9,69800.01428571428,64368.19535714285,69800.01428571428,62.4110088997507,19.062491261963714,0.006576149886477445,2024-07-27 14:00:00,2024-07-29 06:00:00,1 days 16:00:00,,0.0006526841813219544,0.000659556290038821,0.0006375491435094819,0.0006413232212558541,69.08681771789514,69.06787515972147,3.3034999999999884e-06,4.449571428571425e-06,0.00069366,0.000697822,0.000673063,0.0006736169999999999,997464978000.0,1036546954000.0,0.74,0.92,0.0006446537500000001,0.000650891,0.000666298875,0.0006709712500000001,0.0005966459999999999,0.0005966459999999999,0.00064142605,0.000647226775
-0.16416189,1802,1819,58172.7,56773.642857142855,61020.658571428576,56773.642857142855,210.80205589741183,18.86980889201657,0.022074113802522496,2024-08-15 02:00:00,2024-08-15 19:00:00,0 days 17:00:00,,0.0006013039259526435,0.0005996127488017366,0.000618063648719673,0.0006168564963793854,34.891651502184956,29.406673251008215,6.6569285714285675e-06,6.525071428571455e-06,0.000618397,0.0005982,0.000580592,0.0005747419999999999,1148327736000.0,1291784726000.0,0.16,0.02,0.0005879445,0.00058544625,0.000608087125,0.00060706675,0.0006089252750000001,0.000608089825,0.00065919045,0.00065919045
-0.16816586,1906,1920,57977.3,59768.3775,59768.3775,57201.600000000006,-320.9988912322209,19.80080311807015,-0.032923630067284965,2024-08-19 10:00:00,2024-08-20 00:00:00,0 days 14:00:00,,0.0005953635185507818,0.0005948092851189385,0.0006120722958988377,0.0006113673334948806,31.304454441795585,73.8264866867745,4.031642857142833e-06,5.252642857142868e-06,0.00059942,0.000595854,0.000579295,0.0005775,572099892000.0,787577466000.0,0.08,1.0,0.0005839175,0.0005849505,0.000596520375,0.000596520375,0.0005962208,0.000594685,0.00065919045,0.0006590078
-0.16164801,2175,2222,58430.4,57517.32857142857,61138.74821428571,57517.32857142857,128.85345982883774,18.742719587591573,0.013642276965415343,2024-08-30 15:00:00,2024-09-01 14:00:00,1 days 23:00:00,,0.0006082975267378427,0.0006027179028576487,0.0006121574218068996,0.0006097365752116475,32.42147101888203,36.67708824507432,4.8530714285714434e-06,4.272000000000012e-06,0.000599149,0.0005910830000000001,0.000584101,0.00057651,1178701886000.0,755732276000.0,0.02,0.18,0.0005940551250000001,0.0005928957500000001,0.000611481125,0.000611481125,0.0005923636750000001,0.000591008375,0.000609974575,0.000607691875
-0.16595284,2271,2281,57651.6,56858.51428571428,60633.31035714286,56858.51428571428,112.61154797470485,19.00327867443886,0.011770282177771386,2024-09-03 15:00:00,2024-09-04 01:00:00,0 days 10:00:00,,0.0005975932752611422,0.0005962433531285649,0.0006070925188305692,0.0006064244963267614,34.03477589836888,27.022166432710705,4.084214285714299e-06,5.760857142857147e-06,0.0005979000000000001,0.0005933290000000001,0.000575301,0.000570936,975153054000.0,1021266590000.0,0.08,0.02,0.000591672125,0.00059161625,0.000611481125,0.000611481125,0.0005895614,0.000589290325,0.0006051275000000001,0.0006046339749999999
-0.18139431,2347,2417,53333.09999999999,56391.2,60126.009999999995,51841.1,-574.6253030997332,19.903363688733002,-0.059396965486724025,2024-09-06 19:00:00,2024-09-09 17:00:00,2 days 22:00:00,,0.0005849274091226174,0.000570183710461246,0.000600783492974578,0.0005927433626780401,27.751318860686197,68.78624182351633,7.721000000000006e-06,4.935714285714294e-06,0.00057,0.000565,0.00053333,0.000542899,1481020242000.0,876562932000.0,0.04,1.0,0.000584090375,0.000567031625,0.000597531875,0.000590501625,0.000587307575,0.0005853415,0.000603181325,0.000601503925
0.14204095,2780,2822,64270.00000000001,65090.40000000001,59294.715000000004,65090.40000000001,98.15592127162064,18.37447410838,0.010752133188112762,2024-09-24 20:00:00,2024-09-26 14:00:00,1 days 18:00:00,,0.000613863306677023,0.0006196787971609066,0.0006017943302781499,0.0006049950142558231,64.90609999207082,65.3005341555598,4.3371428571428575e-06,3.7237142857142767e-06,0.000643577,0.000647,0.0006268819999999999,0.000626344,1016232394000.0,1048219506000.0,0.94,0.88,0.0005945880000000001,0.000600397375,0.00062849425,0.00063128825,0.00058032465,0.00058032465,0.000602864625,0.000602864625
0.14346627,3244,3251,64280.8,65200.8,61600.270000000004,65200.8,113.41272621436809,18.576242185632005,0.01229789299448677,2024-10-14 04:00:00,2024-10-14 11:00:00,0 days 07:00:00,,0.000623131881098278,0.0006241320339300623,0.0006177097200878522,0.0006181315342722394,70.57371917049839,72.88381574830939,4.579571428571412e-06,5.173857142857105e-06,0.000643776,0.00065,0.0006202,0.0006202,567959144000.0,723380664000.0,0.98,0.98,0.0006173815,0.0006173815,0.0006261562500000001,0.0006261562500000001,0.000614832,0.00061709045,0.000631512175,0.0006317991000000001
0.14044119,3263,3277,66431.8,67371.39999999998,61659.68249999999,67371.39999999998,113.16706149018975,18.791480633808,0.012129684879831489,2024-10-14 23:00:00,2024-10-15 13:00:00,0 days 14:00:00,,0.0006266916956492168,0.0006294617405910851,0.0006191642721262073,0.0006203459666309296,69.01374294674778,75.28859025386555,4.63949999999999e-06,4.6519285714285486e-06,0.0006650650000000001,0.00066533,0.000625775,0.000652001,945945484000.0,1138157368000.0,0.66,0.9,0.0006173815,0.0006173815,0.0006261562500000001,0.0006261562500000001,0.000618241425,0.000619220525,0.0006323449250000001,0.000633154825
0.13950642,3278,3350,67646.8,68577.0857142857,61782.49464285715,68577.0857142857,110.77672296265176,19.004106614489146,0.011738350203873779,2024-10-15 14:00:00,2024-10-18 14:00:00,3 days 00:00:00,,0.000629620978195131,0.000646592461883427,0.000620419398447509,0.0006283277965186701,48.774088403858,63.00649182638319,6.344714285714268e-06,4.364214285714294e-06,0.000677722,0.00068371,0.000652001,0.0006668230000000001,1327906202000.0,991716658000.0,0.2,1.0,0.0006173815,0.0006224298750000001,0.0006261562500000001,0.00063795525,0.000619280325,0.000623862525,0.0006332043,0.000637374075
