fold,test_start,test_end,return_pct,monthly_return_pct,max_dd_pct,sharpe,test_trades
1,2024-11-28,2024-12-27 23:00:00,-0.8158642698392282,-0.8288593302894887,-3.72042797313179,-0.6957444123475687,4
2,2024-12-28,2025-01-26 23:00:00,5.242770387692697,5.328821435428011,-2.6884402763013404,5.520436074808084,4
3,2025-01-27,2025-02-25 23:00:00,5.2869545217958835,5.373749125381155,-1.3438192364619295,7.313842557309453,6
4,2025-02-26,2025-03-27 23:00:00,-7.616528673224332,-7.733514832789023,-8.448135115957733,-3.1469760592864677,3
5,2025-03-28,2025-04-26 23:00:00,2.1870384997527026,2.222404826699087,-2.951309928157275,2.7947791820181247,6
6,2025-04-27,2025-05-26 23:00:00,6.741286765004251,6.8527232891470335,-2.7335526720149383,6.294200948514567,12
7,2025-05-27,2025-06-25 23:00:00,-2.4276343221769525,-2.46598025916388,-3.418595395656776,-4.135219718535914,2
8,2025-06-26,2025-07-25 23:00:00,3.077651913491808,3.1276391772061984,-1.6112952790501844,4.232581368477849,6
9,2025-07-26,2025-08-24 23:00:00,0.9647629116094736,0.9802691388326901,-3.052650418506586,1.086154441538246,5
10,2025-08-25,2025-09-23 23:00:00,0.47900396330768924,0.4866839753519647,-2.905618207549443,0.6438554039728231,5
11,2025-09-24,2025-10-23 23:00:00,3.277622133947289,3.3309094864438116,-1.2036632708775308,5.321563700319198,3
12,2025-10-24,2025-11-22 23:00:00,11.342227186285081,11.533724016382973,-2.3693290124584765,12.082193194007937,6
13,2025-11-23,2025-12-22 23:00:00,-3.322203939343904,-3.3744340099821857,-6.528001856697774,-2.233666788805275,1
14,2025-12-23,2026-01-21 23:00:00,0.8054907439247749,0.8184266930146844,-1.4995255067249635,1.2487668128893015,1
15,2026-01-22,2026-02-20 23:00:00,11.5949514689744,11.79093675811098,-4.702322827898353,12.050796716625532,6
16,2026-02-21,2026-03-22 23:00:00,-2.7704916154315473,-2.8141746673870704,-6.726745071989749,-1.2691107002458768,4
17,2026-03-23,2026-04-21 23:00:00,0.9215783025456892,0.9363872279970042,-3.9342248941161784,0.8837510053074019,3
18,2026-04-22,2026-05-21 23:00:00,0.336591109079154,0.34198388937665136,-4.562013293452294,0.18882385373464353,6
