label,splits,median_test_monthly_return_pct,p10_test_monthly_return_pct,median_test_return_pct,profitable_splits_pct,median_test_profit_factor,median_test_max_dd_pct,median_train_test_gap_pct,total_test_trades,pbo,passed_gate,robust_score
candidate_01,28,1.7669530108236242,0.4980086473552636,11.237233780202693,100.0,1.7140634672698667,-6.540475221707465,9.068727694745288,714,0.35714285714285715,False,16.80776715805957
candidate_07,28,1.6084599085855578,0.13669692298916347,10.189987502192588,96.42857142857143,1.7630716978164807,-6.726744898287573,3.7041059419333067,735,0.35714285714285715,False,16.660415886463248
candidate_03,28,1.655690424949352,0.6093960328146641,10.501712987043021,100.0,1.7219104013207631,-6.782334314189087,9.480113773387956,700,0.35714285714285715,False,16.266276419146745
candidate_02,28,1.6783347751367028,0.0875329649861767,10.64967813240928,92.85714285714286,1.74600536868141,-6.7267450810392315,7.303992401625213,721,0.35714285714285715,False,16.015347452280963
candidate_09,28,1.352974053627487,0.09160746829586897,8.515198971263981,92.85714285714286,1.6283999572537806,-6.828037921908681,0.8859950557678823,735,0.35714285714285715,False,15.490315177482207
candidate_06,28,1.5005595867122579,-0.015467986064425787,9.47850901070284,85.71428571428571,1.677892342541579,-7.4358927831343795,1.9300046841611083,693,0.35714285714285715,False,15.156259702625267
candidate_04,28,1.4371270052385254,0.5969938866740376,9.064329088358125,100.0,1.7607655620581881,-6.7267451421415885,11.720703824735004,672,0.35714285714285715,False,15.131246477933205
candidate_11,28,1.289935828518618,-0.05015647188129961,8.105195258203747,89.28571428571429,1.5279604037853352,-7.598355833186943,0.0,707,0.35714285714285715,False,14.712271102110401
candidate_05,28,1.5718565102835202,0.5481325975606333,9.948063330093493,96.42857142857143,1.7366130393803727,-6.726744985265398,17.229365048801114,651,0.35714285714285715,False,14.446154967149544
candidate_16,28,1.3533514963365745,-0.46309502722716045,8.517627547060037,75.0,1.4581464153661017,-6.799734728750773,0.0,735,0.35714285714285715,False,13.589263934090157
candidate_08,28,1.311129205573458,-0.053670329317136965,8.24314823330876,89.28571428571429,1.5469201208187322,-7.663013809815455,11.761351499059598,672,0.35714285714285715,False,13.047349004117041
candidate_15,28,1.206089942102484,-0.12212823245221434,7.562517874364927,85.71428571428571,1.515872012172241,-6.726744974935983,10.65228830502592,728,0.35714285714285715,False,12.582979595460294
candidate_13,28,1.1393641213423233,-0.31098935288005114,7.136081998279065,75.0,1.6935355259505926,-6.726745074711571,7.4322174381550585,742,0.35714285714285715,False,11.999674500428682
candidate_17,28,1.1100257576511896,0.026398951949058173,6.943082412861024,92.85714285714286,1.3740383189013883,-6.726744950924656,16.18902655678072,700,0.35714285714285715,False,11.876045029525017
candidate_12,28,1.0103585553406846,-0.3050599929673569,6.3036451797359945,78.57142857142857,1.5090247630436915,-6.828037908275897,7.948105952941195,735,0.35714285714285715,False,11.474667191714202
candidate_24,28,1.2133290525339624,-1.4213742015814756,7.607397406916528,75.0,1.1908538244328146,-12.706520087293915,0.0,1715,0.35714285714285715,False,11.453854046333321
candidate_21,28,1.0045735041459891,-0.8844378016288444,6.266740276175852,78.57142857142857,1.1952232072214481,-13.254428481878143,0.0,1428,0.35714285714285715,False,10.888261062744135
candidate_26,28,1.055665672194106,-1.5486480715416584,6.594184283132787,67.85714285714286,1.1823312346693675,-11.978770401389738,0.0,1981,0.35714285714285715,False,10.253043686768438
candidate_25,28,0.88717022263749,-1.7076565743222916,5.517119273071513,67.85714285714286,1.1109392853839672,-13.308224237610789,10.716337761493142,1631,0.35714285714285715,False,7.612503929240541
candidate_18,28,0.8916191808829188,-0.41158451148294195,5.546063580512362,75.0,1.3641051116025733,-6.726745165229109,29.13337542724588,707,0.35714285714285715,False,7.277859756190703
candidate_19,28,0.9235328996820558,-0.47994156376183206,5.749415785377677,75.0,1.3848031869327913,-7.598355768911813,31.823316451344724,721,0.35714285714285715,False,6.85592669389253
candidate_29,28,0.29240107188893694,-0.9431873471674435,1.7913108929944799,60.71428571428571,1.1314083059725526,-7.66437787054074,7.444114657852266,784,0.35714285714285715,False,6.24124366927763
candidate_30,28,0.19456367796161222,-1.0425929711790871,1.1889836815111687,57.14285714285714,1.0499906062483904,-11.677434268111163,0.0,1477,0.35714285714285715,False,5.699607230412641
candidate_10,28,0.8056229331694698,0.2692401305819825,5.000369405243388,100.0,1.2894008277425981,-6.726745094389697,57.235601773908556,714,0.35714285714285715,False,5.1147686445616305
candidate_22,28,0.8417612004428143,-0.6911917702439418,5.229281240488537,67.85714285714286,1.1924157348327256,-6.738519829402334,39.32496352734238,742,0.35714285714285715,False,4.5801961660137405
candidate_14,28,0.5701937981858585,0.024160599267417652,3.518006946588237,92.85714285714286,1.1812401012436728,-7.368260934935888,62.094440223910134,742,0.35714285714285715,False,2.465545897354285
candidate_23,28,0.3734658802725499,-0.9053097378396323,2.293434024290353,67.85714285714286,1.1441315741423512,-7.205798130713803,55.94540231591978,847,0.35714285714285715,False,0.10390364122929174
candidate_20,28,0.4123126663104104,-0.3601868932786989,2.533605972634423,64.28571428571429,1.1194807247351364,-7.205798174077838,62.77767285915087,721,0.35714285714285715,False,-1.1653109236029147
candidate_28,28,0.29367200954120154,-0.7882177057765238,1.7991771933149048,60.71428571428571,1.0035900470840833,-6.799734719762062,73.93360022919109,742,0.35714285714285715,False,-3.746076159199504
candidate_27,28,0.2584748112914981,-0.7187503079504454,1.5821258236146885,60.71428571428571,1.06927258259234,-7.571339733217153,72.7004290963232,756,0.35714285714285715,False,-3.752407496107427
