candidate_id,prefilter_score,prefilter_return_pct,prefilter_max_dd_pct,prefilter_profit_factor,prefilter_trades,params_json,ema_fast_period,ema_slow_period,rsi_period,atr_period,vp_tactical_lookback,vp_macro_lookback,vp_bins,breakout_lookback,rsi_rank_lookback,ema_slope_lookback,min_body_ratio,min_vol_ratio,min_break_dist_atr,min_node_percentile,min_room_to_target_atr,min_rsi_percentile_long,max_rsi_percentile_short,min_close_position_long,max_close_position_short,stop_atr_buffer,tp_fraction_to_next_level
95,32.08524903654164,34.14082425006174,-10.231312229328138,1.5909814931146582,101,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":200,""ema_slope_lookback"":20,""ema_slow_period"":900,""max_close_position_short"":0.45,""max_rsi_percentile_short"":0.55,""min_body_ratio"":0.8,""min_break_dist_atr"":0.05,""min_close_position_long"":0.5,""min_node_percentile"":0.5,""min_room_to_target_atr"":1.0,""min_rsi_percentile_long"":0.45,""min_vol_ratio"":0.8,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.5,""tp_fraction_to_next_level"":0.85,""vp_bins"":16,""vp_macro_lookback"":750,""vp_tactical_lookback"":252}",200,900,14,14,252,750,16,20,50,20,0.8,0.8,0.05,0.5,1.0,0.45,0.55,0.5,0.45,0.5,0.85
67,31.01629578973004,32.49687515416879,-9.118216219689879,1.5466263986449023,105,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":200,""ema_slope_lookback"":20,""ema_slow_period"":600,""max_close_position_short"":0.45,""max_rsi_percentile_short"":0.65,""min_body_ratio"":0.8,""min_break_dist_atr"":0.03,""min_close_position_long"":0.55,""min_node_percentile"":0.5,""min_room_to_target_atr"":1.25,""min_rsi_percentile_long"":0.45,""min_vol_ratio"":0.5,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.3,""tp_fraction_to_next_level"":0.85,""vp_bins"":24,""vp_macro_lookback"":1000,""vp_tactical_lookback"":252}",200,600,14,14,252,1000,24,20,50,20,0.8,0.5,0.03,0.5,1.25,0.45,0.65,0.55,0.45,0.3,0.85
7,30.807571133512205,33.21902048972735,-10.543788899595208,1.8262341373185245,106,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":300,""ema_slope_lookback"":20,""ema_slow_period"":750,""max_close_position_short"":0.45,""max_rsi_percentile_short"":0.75,""min_body_ratio"":0.8,""min_break_dist_atr"":0.02,""min_close_position_long"":0.6,""min_node_percentile"":0.65,""min_room_to_target_atr"":1.25,""min_rsi_percentile_long"":0.35,""min_vol_ratio"":0.5,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.75,""tp_fraction_to_next_level"":0.65,""vp_bins"":24,""vp_macro_lookback"":1000,""vp_tactical_lookback"":252}",300,750,14,14,252,1000,24,20,50,20,0.8,0.5,0.02,0.65,1.25,0.35,0.75,0.6,0.45,0.75,0.65
101,28.19586811508382,30.942077006498277,-10.526565683836054,1.4197236546565424,106,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":200,""ema_slope_lookback"":20,""ema_slow_period"":750,""max_close_position_short"":0.4,""max_rsi_percentile_short"":0.65,""min_body_ratio"":0.8,""min_break_dist_atr"":0.0,""min_close_position_long"":0.5,""min_node_percentile"":0.35,""min_room_to_target_atr"":1.25,""min_rsi_percentile_long"":0.25,""min_vol_ratio"":0.5,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.5,""tp_fraction_to_next_level"":1.0,""vp_bins"":24,""vp_macro_lookback"":750,""vp_tactical_lookback"":252}",200,750,14,14,252,750,24,20,50,20,0.8,0.5,0.0,0.35,1.25,0.25,0.65,0.5,0.4,0.5,1.0
63,28.06282970151469,30.652081163199963,-10.381017601194586,1.5011536181745193,104,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":200,""ema_slope_lookback"":20,""ema_slow_period"":900,""max_close_position_short"":0.4,""max_rsi_percentile_short"":0.55,""min_body_ratio"":0.8,""min_break_dist_atr"":0.0,""min_close_position_long"":0.6,""min_node_percentile"":0.5,""min_room_to_target_atr"":0.75,""min_rsi_percentile_long"":0.45,""min_vol_ratio"":0.8,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.75,""tp_fraction_to_next_level"":0.85,""vp_bins"":24,""vp_macro_lookback"":750,""vp_tactical_lookback"":252}",200,900,14,14,252,750,24,20,50,20,0.8,0.8,0.0,0.5,0.75,0.45,0.55,0.6,0.4,0.75,0.85
10,27.180341765365945,30.107652064627473,-10.750257227815874,1.5036636450523018,105,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":250,""ema_slope_lookback"":20,""ema_slow_period"":750,""max_close_position_short"":0.4,""max_rsi_percentile_short"":0.65,""min_body_ratio"":0.8,""min_break_dist_atr"":0.02,""min_close_position_long"":0.6,""min_node_percentile"":0.5,""min_room_to_target_atr"":0.5,""min_rsi_percentile_long"":0.35,""min_vol_ratio"":1.0,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.3,""tp_fraction_to_next_level"":0.85,""vp_bins"":16,""vp_macro_lookback"":1000,""vp_tactical_lookback"":336}",250,750,14,14,336,1000,16,20,50,20,0.8,1.0,0.02,0.5,0.5,0.35,0.65,0.6,0.4,0.3,0.85
33,25.94672004320616,28.42515530644207,-10.078796113574262,1.4059735935072695,100,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":200,""ema_slope_lookback"":20,""ema_slow_period"":750,""max_close_position_short"":0.4,""max_rsi_percentile_short"":0.55,""min_body_ratio"":0.8,""min_break_dist_atr"":0.05,""min_close_position_long"":0.5,""min_node_percentile"":0.35,""min_room_to_target_atr"":0.75,""min_rsi_percentile_long"":0.35,""min_vol_ratio"":1.0,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.75,""tp_fraction_to_next_level"":1.0,""vp_bins"":16,""vp_macro_lookback"":750,""vp_tactical_lookback"":336}",200,750,14,14,336,750,16,20,50,20,0.8,1.0,0.05,0.35,0.75,0.35,0.55,0.5,0.4,0.75,1.0
106,23.14460224359145,25.573234268311445,-9.615476468489515,1.4317568306314332,101,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":200,""ema_slope_lookback"":20,""ema_slow_period"":750,""max_close_position_short"":0.4,""max_rsi_percentile_short"":0.55,""min_body_ratio"":0.8,""min_break_dist_atr"":0.02,""min_close_position_long"":0.6,""min_node_percentile"":0.5,""min_room_to_target_atr"":1.25,""min_rsi_percentile_long"":0.35,""min_vol_ratio"":0.5,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.75,""tp_fraction_to_next_level"":0.85,""vp_bins"":24,""vp_macro_lookback"":1000,""vp_tactical_lookback"":336}",200,750,14,14,336,1000,24,20,50,20,0.8,0.5,0.02,0.5,1.25,0.35,0.55,0.6,0.4,0.75,0.85
57,20.205116720618776,24.225078381601982,-11.463330370008784,1.3929323662879824,103,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":200,""ema_slope_lookback"":20,""ema_slow_period"":750,""max_close_position_short"":0.4,""max_rsi_percentile_short"":0.75,""min_body_ratio"":0.8,""min_break_dist_atr"":0.05,""min_close_position_long"":0.5,""min_node_percentile"":0.5,""min_room_to_target_atr"":0.75,""min_rsi_percentile_long"":0.35,""min_vol_ratio"":1.0,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.5,""tp_fraction_to_next_level"":0.85,""vp_bins"":24,""vp_macro_lookback"":750,""vp_tactical_lookback"":252}",200,750,14,14,252,750,24,20,50,20,0.8,1.0,0.05,0.5,0.75,0.35,0.75,0.5,0.4,0.5,0.85
79,18.108580130282753,21.77401892012129,-10.663071969049732,1.3057017779837783,103,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":200,""ema_slope_lookback"":20,""ema_slow_period"":900,""max_close_position_short"":0.4,""max_rsi_percentile_short"":0.65,""min_body_ratio"":0.8,""min_break_dist_atr"":0.0,""min_close_position_long"":0.5,""min_node_percentile"":0.35,""min_room_to_target_atr"":1.0,""min_rsi_percentile_long"":0.35,""min_vol_ratio"":0.8,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.3,""tp_fraction_to_next_level"":1.0,""vp_bins"":16,""vp_macro_lookback"":750,""vp_tactical_lookback"":252}",200,900,14,14,252,750,16,20,50,20,0.8,0.8,0.0,0.35,1.0,0.35,0.65,0.5,0.4,0.3,1.0
