params_label,split_id,test_groups,test_start,test_end,purged_train_bars,train_score,test_score,train_return_pct,train_monthly_return_pct,train_max_dd_pct,train_profit_factor,train_trades,test_return_pct,test_monthly_return_pct,test_max_dd_pct,test_profit_factor,test_trades,test_win_rate_pct,test_expectancy_pct,train_test_gap_pct
candidate_01,1,"0,1",2024-06-01 00:00:00,2024-12-03 03:00:00,12995,11.44085025352642,9.571152057228257,33.569508889521195,1.6405594041609683,-8.983789081406634,1.6761218205520911,78,13.549207020701036,2.111625311783083,-6.540475380589794,2.1940574897005614,18,88.88888888888889,0.7488072289683466,0.0
candidate_01,2,"0,2",2024-06-01 00:00:00,2025-03-05 17:00:00,11459,14.49059084244589,5.8796345322561425,40.13286923709545,1.6331045300814973,-7.733417480221849,1.9761846743801215,70,8.599032492350855,1.365854120153842,-6.252638484449657,1.8650732882356265,17,88.23529411764706,0.5074448387438596,16.364562402770293
candidate_01,3,"0,3",2024-06-01 00:00:00,2025-06-06 07:00:00,11459,15.043853718019673,0.27972003770671483,40.967806940643015,1.662094001666814,-7.733417403398956,2.04472486020631,63,4.547611650915018,0.7340426414117474,-8.983789250241603,1.2346171647100415,26,84.61538461538461,0.18874517827611245,55.83627396070136
candidate_01,4,"0,4",2024-06-01 00:00:00,2025-09-06 21:00:00,11459,12.894064263362933,0.16486906185441141,38.860659567835484,1.5886150420760803,-10.333928244912528,1.9053953061345577,62,2.4814562097483117,0.40391537425525925,-6.252638484449657,1.1729904774558113,19,84.21052631578947,0.13261208370291458,74.57437053300195
candidate_01,5,"0,5",2024-06-01 00:00:00,2025-12-08 11:00:00,11459,11.743081159036096,7.842728526480088,34.77402246398413,1.4430320609089442,-8.98378960085654,1.79763837817877,70,11.541710780400628,1.8125240137769616,-6.252638484449657,1.9058829161145283,19,84.21052631578947,0.6087454278043642,0.0
candidate_01,6,"0,6",2024-06-01 00:00:00,2026-03-11 01:00:00,11459,9.232251728221588,1.2471106096345175,27.89556596192948,1.1882279446378208,-8.98378960085654,1.7274614556329895,68,3.7674538044634165,0.610036182768825,-6.726744893465164,1.1945208229629627,16,81.25,0.2619094713054848,48.660003703686016
candidate_01,7,"0,7",2024-06-01 00:00:00,2026-06-11 14:00:00,11796,7.586508482432314,9.406135458982039,22.71530503424173,1.2758197428624607,-8.98378960085654,1.529107544540498,64,14.155336617922165,2.2015663540153385,-6.252638484449657,2.2418781191273824,22,86.36363636363636,0.6339647598079893,0.0
candidate_01,8,"1,2",2024-09-01 14:00:00,2025-03-05 17:00:00,11795,15.572433999431773,11.918226067270348,44.122834008607924,1.513503339584621,-7.733417547527832,2.0435238844360324,72,17.439238058454176,2.678848765834063,-6.540475380589794,2.692517640452267,23,91.30434782608695,0.7567390917096075,0.0
candidate_01,9,"1,3",2024-09-01 14:00:00,2025-06-06 07:00:00,10259,13.9470712264969,6.044632064790448,37.91129490950795,1.3298649263596918,-7.733417429052114,2.228638366754772,57,13.058022445820816,2.0388534159465177,-8.983789250241603,1.708970239323718,32,87.5,0.4276816089329464,0.0
candidate_01,10,"1,4",2024-09-01 14:00:00,2025-09-06 21:00:00,10259,10.682253406428813,6.375924261154431,33.40994391534533,1.1917612242946296,-10.33392805316854,1.898479265551885,58,10.823677303399414,1.7044500013838615,-6.540475380589794,1.852863996492572,25,88.0,0.4519226576412295,0.0
