fold,test_start,test_end,return_pct,monthly_return_pct,max_dd_pct,sharpe,test_trades
1,2024-11-28,2024-12-27 23:00:00,1.7610944974133513,1.7895127659828036,-1.1810417247305804,4.043781230717342,2
2,2024-12-28,2025-01-26 23:00:00,0.9273723616402219,0.94227482630731,-4.504298052105604,0.5707576142219809,5
3,2025-01-27,2025-02-25 23:00:00,4.2343708332776675,4.303534217789706,-0.8320025582732038,7.735239040201158,5
4,2025-02-26,2025-03-27 23:00:00,-6.481179352551791,-6.581354167322894,-8.128942283131158,-2.3564657170485335,2
5,2025-03-28,2025-04-26 23:00:00,2.187038221934623,2.2224045443397733,-2.9513100102608436,2.7947788120367254,6
6,2025-04-27,2025-05-26 23:00:00,6.763023536359758,6.8748308197859265,-2.733552616341872,6.329260898864159,12
7,2025-05-27,2025-06-25 23:00:00,-3.382091880930893,-3.435246652252122,-3.7478766792553686,-6.483991930886627,1
8,2025-06-26,2025-07-25 23:00:00,2.786273989116883,2.831463965779202,-1.611295204851404,4.0588569861678305,5
9,2025-07-26,2025-08-24 23:00:00,1.7141909730380656,1.7418459138895503,-3.052650680115876,2.232461279783088,3
10,2025-08-25,2025-09-23 23:00:00,-0.4946591656469712,-0.5025510468409267,-3.8464835121547414,-0.5360261757732381,5
11,2025-09-24,2025-10-23 23:00:00,-4.152129425050733,-4.217120129250363,-4.171655014306919,-2.427961314665929,5
12,2025-10-24,2025-11-22 23:00:00,11.342227422695839,11.533724256988108,-2.369329086422234,12.082193307040415,6
13,2025-11-23,2025-12-22 23:00:00,-3.3222038493302297,-3.3744339185782013,-6.5280017294938375,-2.2336667732577236,1
14,2025-12-23,2026-01-21 23:00:00,0.0,0.0,0.0,0.0,0
15,2026-01-22,2026-02-20 23:00:00,10.192657131475524,10.363855405355205,-4.7023227731834645,9.870047212001152,5
16,2026-02-21,2026-03-22 23:00:00,-2.770491477461634,-2.814174527273383,-6.726744835859277,-1.2691106839925828,4
17,2026-03-23,2026-04-21 23:00:00,0.9215782301795539,0.9363871544626257,-3.934224939575548,0.8837509476389996,3
18,2026-04-22,2026-05-21 23:00:00,0.1367824449951982,0.13897172264019098,-4.002144023332777,0.11157688841707661,6
