params_label,split_id,test_groups,test_start,test_end,purged_train_bars,candidate_cpcv_mode,train_score,test_score,train_return_pct,train_monthly_return_pct,train_max_dd_pct,train_profit_factor,train_trades,test_return_pct,test_monthly_return_pct,test_max_dd_pct,test_profit_factor,test_trades,test_win_rate_pct,test_expectancy_pct,train_test_gap_pct
candidate_01,1,"0,1",2024-06-01 00:00:00,2024-12-03 03:00:00,12995,approx_full_backtest,10.680517246219296,9.884984738604086,31.820181835932004,1.5652573666143699,-8.98378969794209,1.5982317169798166,82,13.549207471099155,2.111625378391535,-6.540475221707465,2.3267096157069695,19,89.47368421052632,0.7811977798932512,0.0
candidate_01,2,"0,2",2024-06-01 00:00:00,2025-03-05 17:00:00,11459,approx_full_backtest,13.86038111981983,5.905272528168959,36.95558618278045,2.025409118683119,-7.733417134441889,1.5750369356785814,73,8.599032256178862,1.3658540839015298,-6.252638484449657,1.8992574399802218,17,88.23529411764706,0.5074448387438596,32.564039960994094
candidate_01,3,"0,3",2024-06-01 00:00:00,2025-06-06 07:00:00,11459,approx_full_backtest,17.97994901682045,0.27267038728466675,46.17867441128845,2.4502515895702404,-7.733417134441889,2.1213905527363686,65,4.547611131271179,0.7340425590719679,-8.98378969794209,1.2252182559674734,26,84.61538461538461,0.18874517827611245,70.04215558122688
candidate_01,4,"0,4",2024-06-01 00:00:00,2025-09-06 21:00:00,11459,approx_full_backtest,15.579128198951944,0.14925695420337004,42.612855097368566,2.2890581337323024,-8.98378969794209,1.8897681420973147,66,2.4814560544524022,0.40391534923411854,-6.252638484449657,1.1521744380587766,19,84.21052631578947,0.13261208370291458,82.35451763841682
candidate_01,5,"0,5",2024-06-01 00:00:00,2025-12-08 11:00:00,11459,approx_full_backtest,17.776672143190893,7.875847770143241,50.51329451649058,2.641313067465356,-8.98378969794209,1.862721742067503,73,11.541711025314804,1.812524050540687,-6.252638484449657,1.9500417946320034,19,84.21052631578947,0.6087454278043642,31.377916807112445
candidate_01,6,"0,6",2024-06-01 00:00:00,2026-03-11 01:00:00,11459,approx_full_backtest,14.59525930801364,1.233817190258901,39.54466533605998,2.1473107339730513,-8.98378969794209,2.01175318028812,74,3.767453830928047,0.6100361869885829,-6.726744963517328,1.1767962947022887,16,81.25,0.2619094713054848,71.59068888647214
candidate_01,7,"0,7",2024-06-01 00:00:00,2026-06-11 14:00:00,11796,approx_full_backtest,10.175087786999246,9.496069124439435,29.21140241993403,1.5998805697859497,-8.98378969794209,1.646212967195336,68,14.15533661013506,2.201566352868567,-6.252638484449657,2.36178968391606,22,86.36363636363636,0.6339647598079893,0.0
candidate_01,8,"1,2",2024-09-01 14:00:00,2025-03-05 17:00:00,11795,approx_full_backtest,13.615272530416995,12.173371762654149,36.83189893254553,1.9614316674042565,-7.733417134441889,1.5740884150275745,73,17.439238268885383,2.678848796090616,-6.540475221707465,2.803548816183166,24,91.66666666666666,0.7820511169109378,0.0
candidate_01,9,"1,3",2024-09-01 14:00:00,2025-06-06 07:00:00,10259,approx_full_backtest,11.269834246217652,6.238517599552688,28.501832366495815,1.802218065481398,-7.733417134441889,1.7910415493572203,56,13.058022332326624,2.0388533991011926,-8.98378969794209,1.7137765154372164,33,87.87878787878788,0.4560617934059339,0.0
candidate_01,10,"1,4",2024-09-01 14:00:00,2025-09-06 21:00:00,10259,approx_full_backtest,9.296740534711045,6.611722065065939,25.367214286451436,1.623303997906067,-8.98378969794209,1.6090526040895843,57,10.823677575049274,1.7044500423814668,-6.540475221707465,1.8598848966153116,26,88.46153846153845,0.48701131298354894,0.0
