run,final_return_pct,max_dd_pct
1,68.81206634023582,-7.97161901963478
2,74.10915231537226,-4.2730847800563465
3,61.376466807912244,-11.05786677875631
4,5.613810084990067,-19.544309291107197
5,20.122845325713023,-14.943229782784295
6,28.285070232116038,-19.65741887062609
7,69.99111484758859,-7.7161361461167814
8,34.92216696788333,-13.374452488882593
9,37.63671691484139,-9.890721159886862
10,72.23423122248876,-12.761782147101709
11,1.1486078466804273,-24.358117853545625
12,18.61637814318817,-13.067994324982779
13,22.602285534376577,-10.31720637938095
14,53.86314477608509,-7.716136146116792
15,16.741806724112564,-13.045772896810737
16,34.85118131596037,-13.281514152434825
17,87.721021109857,-7.24193483681611
18,51.264924086109055,-4.688985428849046
19,23.709016200495302,-11.939101001271036
20,45.89088061489242,-8.555033008611357
21,90.03424960713137,-4.373138192561887
22,2.368575748199686,-19.593166070494085
23,23.936941029700254,-16.224545935608013
24,42.87225256356344,-7.109175491817831
25,12.467718027171081,-17.96878712687584
26,41.02045143230622,-12.015646234669031
27,15.469019144522855,-19.619927542465188
28,20.025223759685563,-21.097020502775866
29,31.2404879742719,-18.62946735686496
30,-0.37522569090908675,-19.595217865673643
31,87.83840474381338,-9.828012914221206
32,-7.067042133818946,-39.06587889676258
33,27.393346684354935,-15.218716474236704
34,39.63252787961273,-13.08312999924558
35,28.22479227226864,-18.277889804218262
36,34.52071164030342,-9.591553306720435
37,-13.501547023918736,-26.557392358618557
38,27.73473899002685,-15.70788109875718
39,15.408265072964266,-21.772921232701915
40,71.30488634932316,-7.280933778967757
41,29.741913049719827,-20.985171843089525
42,13.267033624300995,-15.935051953483425
43,28.163554293541026,-8.335705075906763
44,28.706756328567273,-11.844432876792066
45,45.18854246565076,-9.310593052871429
46,57.895838732681845,-7.179005997190413
47,117.22717694850174,-4.120443904152015
48,26.530024882745963,-12.698716185553627
49,37.3595160905817,-11.004816414459883
50,15.911718991016288,-12.739473634336607
51,20.516799295880883,-13.692834042511892
52,9.652201085250066,-13.006258620202537
53,55.33726214563386,-8.726237508727209
54,49.94847666478734,-6.754331270901215
55,10.408455335613077,-15.287603121512461
56,53.4643458433441,-9.978720124276308
57,28.986582767337676,-16.413292962929628
58,39.51929092893784,-7.781323574938426
59,41.90912053707336,-10.56246092092923
60,25.881560010552352,-12.707416947689609
61,10.519065292981145,-11.387147275687838
62,52.371336820119474,-6.470916831760809
63,15.18802234217107,-16.129440043879594
64,70.8380302497578,-6.466450332257989
65,26.35101113275029,-12.560083532132449
